	glyph	ASCII_code	width	height	darkness	CMDS1	CMDS2
0	 	32	22	30	0.0	-0.00033927267668850476	0.0006124779772332303
1	!	33	22	30	0.048863636363636366	-0.01946525255889366	-0.006433834057708264
2	""""	34	22	30	0.075	0.0505945627539361	-0.0035091236087397065
3	#	35	22	32	0.08636363636363636	-0.04257221760238008	-0.043514014061895874
4	$	36	22	33	0.07272727272727272	-0.04834478507917098	0.008085496786058582
5	%	37	22	30	0.07272727272727272	-0.031594913141128673	0.02820794081872929
6	&	38	22	30	0.0659090909090909	-0.020540788804296536	-0.03824287291919014
7	'	39	22	30	0.03636363636363636	-0.011541081229330338	-0.0020273302361291023
8	(	40	22	35	0.0375	0.0030380709799823708	-0.0032186103745350794
9	)	41	22	35	0.0375	-0.005715873347551092	0.007166298704475218
10	*	42	22	30	0.03409090909090909	0.0019869476669939043	-0.007061364996317811
11	+	43	22	30	0.0375	-0.0009393374502322855	-0.0076974103095673475
12	,	44	22	35	0.03636363636363636	-0.008992691381672151	0.008391618510042224
13	-	45	22	30	0.03636363636363636	0.014507985228592769	0.004162317120982893
14	.	46	22	30	0.023863636363636365	-0.005223371658206005	0.0016912904635035734
15	/	47	22	33	0.03977272727272727	0.012974344389240547	0.007696953238636253
16	0	48	22	30	0.06477272727272727	-0.015647904401745964	0.03170787646631614
17	1	49	22	30	0.048863636363636366	-0.01859363601994864	-0.0034461809927545666
18	2	50	22	30	0.05909090909090909	0.025298947587872364	-0.012431523843018337
19	3	51	22	30	0.056818181818181816	0.005183832376479781	0.02520402466339976
20	4	52	22	30	0.0625	-0.03487041851752322	-0.022599545840452744
21	5	53	22	30	0.060227272727272727	0.002742349320738778	-0.02649568745676974
22	6	54	22	30	0.07386363636363637	-0.04900892530125134	-0.0060915626082191495
23	7	55	22	30	0.042045454545454546	-0.02019718775006448	-0.010925611605155577
24	8	56	22	30	0.06704545454545455	-0.02635666694497452	0.02467668682067909
25	9	57	22	30	0.07045454545454545	0.03984640425713901	-0.007146168244252793
26	:	58	22	30	0.04772727272727273	-0.01478975291287449	-0.019398219440898305
27	;	59	22	34	0.053409090909090906	0.020302681929722816	-0.00643223061421914
28	<	60	22	30	0.0375	0.009475937286887495	-0.013023386795904517
29	=	61	22	30	0.04090909090909091	-0.0215511521832583	0.005900922398545296
30	>	62	22	30	0.03636363636363636	0.0029857345731236218	0.01372431455708857
31	?	63	22	30	0.056818181818181816	0.0014667630570084236	0.02551453264870573
32	@	64	22	31	0.07727272727272727	0.036861674241264596	-0.035028809583339655
33	A	65	22	30	0.07613636363636364	0.01842508994266104	0.04547538964563283
34	B	66	22	30	0.09431818181818181	0.05453990445220332	0.009638345188267745
35	C	67	22	30	0.0625	-0.03639651774315732	0.013449557199571145
36	D	68	22	30	0.07272727272727272	0.020835022522924258	0.034907041718798305
37	E	69	22	30	0.08522727272727272	0.03660228375072543	0.03056445722683892
38	F	70	22	30	0.07272727272727272	0.0066000360956927585	0.03921099607356285
39	G	71	22	30	0.07386363636363637	-0.042113579749735196	0.02028010308156789
40	H	72	22	30	0.08636363636363636	0.044284423741510114	0.026715776584672966
41	I	73	22	30	0.05113636363636364	-0.0031306665803207717	-0.013034485540163919
42	J	74	22	30	0.05454545454545454	-0.006348371208711414	0.027540869969073525
43	K	75	22	30	0.07954545454545454	0.045460085263518996	0.02214324499458783
44	L	76	22	30	0.0659090909090909	0.015391739707709283	0.030933933813909333
45	M	77	22	30	0.09659090909090909	0.00947972300774477	0.06552001839485296
46	N	78	22	30	0.08863636363636364	0.02849139933536646	-0.053026241609589506
47	O	79	22	30	0.06136363636363636	-0.03335253652262999	0.01577221362799555
48	P	80	22	30	0.0715909090909091	0.034527988934123156	0.015822313868641077
49	Q	81	22	34	0.0875	-0.02797034599800316	0.05071674854956304
50	R	82	22	30	0.08522727272727272	0.05018818455496214	-0.01606167681987544
51	S	83	22	30	0.075	0.03758660985134966	0.003242549898893909
52	T	84	22	30	0.06704545454545455	-0.00894886584657388	-0.028886290323824775
53	U	85	22	30	0.06704545454545455	-0.006490551372002668	0.04054593347378978
54	V	86	22	30	0.05909090909090909	0.020781658804679918	0.02609572802088198
55	W	87	22	30	0.09545454545454546	0.03797885248893746	0.05224983061885952
56	X	88	22	30	0.07386363636363637	0.010939756387268528	-0.04627863740187199
57	Y	89	22	30	0.05795454545454545	0.0017950965859603975	-0.029576380512870367
58	Z	90	22	30	0.06931818181818182	-0.0005325889327470806	-0.037451635339721304
59	[	91	22	35	0.042045454545454546	-0.012486910915919993	-0.012619139140803953
60	\	92	22	33	0.0375	0.011360436041562125	-0.009734244557838558
61	]	93	22	35	0.042045454545454546	-0.012674517678805418	-0.011330312729586888
62	^	94	22	30	0.019318181818181818	0.0016750382481831427	0.002910622487080641
63	_	95	22	40	0.025	0.0004778309777990919	0.008392109327162129
64	`	96	22	30	0.011363636363636364	-0.000960472345279667	0.0013664313418632673
65	a	97	22	30	0.06704545454545455	-0.026974248387643562	-0.027569735447120984
66	b	98	22	30	0.07386363636363637	-0.031793145371220244	-0.03497795596888425
67	c	99	22	30	0.05227272727272727	-0.029360702743339653	-0.0023625138260607898
68	d	100	22	30	0.075	-0.019544720005663475	0.040347504341486644
69	e	101	22	30	0.06363636363636363	-0.0430696323142562	-0.013415470192408607
70	f	102	22	30	0.06363636363636363	-0.03165397122671075	-0.013987653146382364
